"design","variable","order","contact"
"1","res_netinc","(1,1)","0.895"
"1","res_netinc","(1,2)","0.865"
"1","res_netinc","(2,1)","0.94"
"1","res_netinc","(2,2)","0.82"
"2","res_netinc","(1,1)","0.455"
"2","res_netinc","(1,2)","0.345"
"2","res_netinc","(2,1)","0.405"
"2","res_netinc","(2,2)","0.305"
"1","res_tc","(1,1)","0.975"
"1","res_tc","(1,2)","0.765"
"1","res_tc","(2,1)","0.965"
"1","res_tc","(2,2)","0.72"
"2","res_tc","(1,1)","0.1"
"2","res_tc","(1,2)","0.09"
"2","res_tc","(2,1)","0.08"
"2","res_tc","(2,2)","0.075"
